Title,Date,Rating,Review
Very good experience overall,01-14-24,4,The garlic knots was very tasty. I particularly enjoyed how the crust was thin and traditional. The rich and savory tomato base and cheese was a bit rubbery were highlights. The staff was incredibly knowledgeable about the wine pairings. The lunch special is an absolute steal for the quality you get. Just a minor wait time kept it from being a full 5 stars.
Incredible quality and service,02-02-24,5,"The calzone was outstanding. The crust was crispy on the bottom but airy and light, and the rich and savory tomato base. To top it off, the cheese ratio was spot on. The staff was incredibly knowledgeable about the wine pairings. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
"Decent food, slow service",02-20-24,3,"The homemade pasta was decent enough, though nothing stood out. The crust was thin and traditional. The tomato sauce had a bright, fresh acidity while the generous portions of fresh mozzarella was just okay. The ambiance is cozy and perfect for a date night. However, Service was a bit slow despite the restaurant not being full. I felt it was a bit overpriced for what is essentially bread and cheese."
My new weekly tradition,01-28-24,5,"The margherita pizza was outstanding. The crust was a bit too doughy in the center, and the tomato sauce had a bright, fresh acidity. To top it off, the cheese was a bit rubbery. The server was very attentive and made sure our water glasses were never empty. The ambiance is cozy and perfect for a date night. Definitely worth every penny."
Not sure I'll be back,03-26-24,3,"The garlic knots was decent enough, though nothing stood out. The crust was a bit too doughy in the center. The sauce was a bit bland and lacked seasoning while the cheese was a bit rubbery was just okay. It gets quite loud during the dinner rush, making conversation difficult. However, Service was a bit slow despite the restaurant not being full. The lunch special is an absolute steal for the quality you get."
Terrible experience,03-24-24,1,"This was honestly a disaster. The garlic knots arrived cold and the crust was a bit too doughy in the center. The perfectly balanced sauce with hints of oregano and garlic was off and the generous portions of fresh mozzarella was poor quality. The server was very attentive and made sure our water glasses were never empty. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working. I cannot recommend this place to anyone."
"Great food, small wait",01-04-24,4,"The homemade pasta was very tasty. I particularly enjoyed how the crust was thin and traditional. The perfectly balanced sauce with hints of oregano and garlic and generous portions of fresh mozzarella were highlights. The manager personally checked on our table to ensure everything was to our liking. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Just a minor wait time kept it from being a full 5 stars."
Not worth the price,12-25-23,2,"I had high hopes for the garlic knots, but it fell short. The sauce was a bit bland and lacked seasoning was disappointing and the crust was a bit too doughy in the center. The cheese ratio was spot on lacked flavor. The manager personally checked on our table to ensure everything was to our liking. The lunch special is an absolute steal for the quality you get. The ambiance is cozy and perfect for a date night."
It was okay,01-08-24,3,"The homemade pasta was decent enough, though nothing stood out. The crust was crispy on the bottom but airy and light. The perfectly balanced sauce with hints of oregano and garlic while the generous portions of fresh mozzarella was just okay. The ambiance is cozy and perfect for a date night. However, The staff was incredibly knowledgeable about the wine pairings. Great value for the portion sizes we received."
My new weekly tradition,04-04-24,5,"The calzone was outstanding. The crust was perfectly charred from the wood-fired oven, and the sauce was a bit bland and lacked seasoning. To top it off, the high-quality cheese that didn't feel greasy. The server was very attentive and made sure our water glasses were never empty. Loved the open kitchen concept where you can see the chefs working. Definitely worth every penny."
Underwhelming,12-23-23,2,"I had high hopes for the veggie supreme, but it fell short. The tomato sauce had a bright, fresh acidity was disappointing and the crust was slightly chewy with a great sourdough flavor. The cheese ratio was spot on lacked flavor. The server was very attentive and made sure our water glasses were never empty. It's a bit pricier than your average pizza joint, but the quality of ingredients justifies it. Loved the open kitchen concept where you can see the chefs working."
